id,name,qoh,qa,qoo,avail,limit,price
03038,Wheat thins Orignal,143.0000,0.0000,0.0000,143.0000,0,0.64
03048,Smoked Ham,25.0000,0.0000,0.0000,25.0000,0,1.12
03054,Honey Ham,23.0000,0.0000,0.0000,23.0000,0,1.12
030802,Rosemary & Garlic Bread Crumb,59.0000,0.0000,0.0000,59.0000,0,0.80
031351,Vanilla Banana Graham Crackers,84.0000,0.0000,0.0000,84.0000,0,1.28
031720,Ham & Salami Sub Kit,24.0000,0.0000,0.0000,24.0000,0,3.20
03203,Thin Cut Fries,7.0000,7.0000,0.0000,0.0000,0,4.48
032261,Tang Orange,29.0000,0.0000,0.0000,29.0000,0,0.00
03267,Golden Chocolate Oreo Cookies,35.0000,0.0000,0.0000,35.0000,0,1.92
03318,Whole Grain Saltine Crackers,132.0000,0.0000,525.0000,132.0000,0,0.00
03336,Smoked turkey breast,2.0000,0.0000,0.0000,2.0000,3,0.80
033361,Strawberry Creme Graham Cracke,1.0000,1.0000,0.0000,0.0000,0,1.28
03346,Oreo Double Stuff Cookies,19.0000,0.0000,0.0000,19.0000,0,1.92
03352,Fig newtons cookies,7.0000,0.0000,0.0000,7.0000,0,1.60
03384,Chocolate Banana Fruit Thins,110.0000,110.0000,0.0000,0.0000,0,0.64
03424,Mesquite BBQ Bread Crumb Mix,157.0000,0.0000,0.0000,157.0000,0,0.80
03430,Original Wheat Thins,21.0000,0.0000,0.0000,21.0000,0,0.64
035120,Coffee mate original,42.0000,0.0000,0.0000,42.0000,0,0.80
035122,Pomegranate fl / Vitamin Water,8.0000,8.0000,0.0000,0.0000,0,2.32
035301,Cheese Nips Crackers,1.0000,0.0000,0.0000,1.0000,0,0.64
03627,Cheese cake batter,10.0000,0.0000,0.0000,10.0000,0,3.20
03646,Strawberry/Kiwi Yogurt,1.0000,1.0000,0.0000,0.0000,0,1.92
037760,Strawberry Banana Chews,136.0000,0.0000,0.0000,136.0000,0,0.00
03970,Gatorade Lemon-Lime Powder Mix,2.0000,2.0000,0.0000,0.0000,0,7.04
04211,Choc Vanilla Swirl Pudding,25.0000,0.0000,0.0000,25.0000,0,1.12
042210,Chocolate Mousse Pudding,2.0000,0.0000,0.0000,2.0000,0,0.00
04274,Hickory BBQ Beef Recipe Mix,200.0000,0.0000,0.0000,200.0000,0,0.96
042750,Chicken Enchilada Recipe Mix,200.0000,0.0000,0.0000,200.0000,0,1.12
043316,Apple cinn cheerios ceareal br,55.0000,0.0000,0.0000,55.0000,3,1.28
04422,Strawberry Cheesecake Pudding,12.0000,0.0000,0.0000,12.0000,0,0.96
04627,Banana Blueberry Fruit Squeeze,113.0000,7.0000,0.0000,106.0000,0,1.28
04680,Graduates Bitter Biscuits,13.0000,0.0000,0.0000,13.0000,0,0.48
047680,Gerber Blueberry Yogurt Blend,1.0000,1.0000,0.0000,0.0000,0,0.96
04784,Gerber Creamy Fruit Blends,69.0000,0.0000,0.0000,69.0000,0,0.80
04819,Organic Green Veggie Puffs,18.0000,0.0000,0.0000,18.0000,0,0.08
04870,Graduates Chicken & Pasta w sa,290.0000,13.0000,0.0000,277.0000,0,0.40
04894,Graduates Sweet Corn,500.0000,0.0000,0.0000,500.0000,0,0.64
04950,Grad dippers strberry banana,0.0000,8.0000,0.0000,-8.0000,0,0.00
04952,Biscuits w/Banana Mango Dip,205.0000,17.0000,0.0000,188.0000,0,0.32
04953,Sweet Potato Apple Pear Dipper,130.0000,0.0000,0.0000,130.0000,0,0.32
05228,Country sausage gravy,9.0000,9.0000,0.0000,0.0000,0,7.04
053480,Sausage & Shells,5.0000,0.0000,0.0000,5.0000,0,7.20
053561,Creamy Italian Dressing Mix,1.0000,1.0000,0.0000,0.0000,0,0.32
05395,Italian Caffe',95.0000,0.0000,0.0000,95.0000,0,1.92
05441,Publix cut green beans,549.0000,221.0000,0.0000,328.0000,0,4.00
05445,Chicken Broth,5.0000,5.0000,0.0000,0.0000,0,4.32
058012,Shake N Bake,8.0000,0.0000,0.0000,8.0000,0,0.64
058401,Cut Chicken Parts,35.0000,35.0000,0.0000,0.0000,0,0.00
060002,Assorted Cookies,14.0000,0.0000,0.0000,14.0000,0,1.44
06041,Hotdog w/ pork,10.0000,10.0000,0.0000,0.0000,0,2.72
06125,Roasted Turkey Breast,8.0000,0.0000,0.0000,8.0000,0,0.48
06155,Shrimp scampi,2.0000,0.0000,0.0000,2.0000,0,1.28
06233,Shredded Pepper Jack Cheese,0.0000,32.0000,0.0000,-32.0000,0,0.00
